method,model,T,event_dense_ratio,ratio_col,csv_path
BP,alif,2,0.1916313186397985,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T2/MNIST_alif_BP_v2_20260425_184344.csv
BP,alif,4,0.1919892235516372,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T4/MNIST_alif_BP_v2_20260425_184414.csv
BP,alif,8,0.1923562758186398,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T8/MNIST_alif_BP_v2_20260425_191340.csv
BP,alif,10,0.1925400143576826,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/alif/T10/MNIST_alif_BP_v2_20260425_191423.csv
FF,alif,2,0.165963683800623,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/alif/T2/MNIST_alif_FF_v2_20260425_193322.csv
FF,alif,4,0.1281639154984423,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/alif/T4/MNIST_alif_FF_v2_20260425_193340.csv
FF,alif,8,0.1204618847352024,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/alif/T8/MNIST_alif_FF_v2_20260425_202800.csv
FF,alif,10,0.1195992757009345,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/alif/T10/MNIST_alif_FF_v2_20260425_202824.csv
BP,dynsrm,2,0.1921496158690176,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/dynsrm/T2/MNIST_dynsrm_BP_v2_20260425_204415.csv
BP,dynsrm,4,0.1923363255667506,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/dynsrm/T4/MNIST_dynsrm_BP_v2_20260425_204557.csv
BP,dynsrm,8,0.192577133186398,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/dynsrm/T8/MNIST_dynsrm_BP_v2_20260425_211421.csv
BP,dynsrm,10,0.1927863375314861,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/dynsrm/T10/MNIST_dynsrm_BP_v2_20260425_211625.csv
FF,dynsrm,2,0.2100181814641744,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/dynsrm/T2/MNIST_dynsrm_FF_v2_20260425_222719.csv
FF,dynsrm,4,0.1639034034267912,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/dynsrm/T4/MNIST_dynsrm_FF_v2_20260425_222733.csv
FF,dynsrm,8,0.1363314466510903,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/dynsrm/T8/MNIST_dynsrm_FF_v2_20260425_225259.csv
FF,dynsrm,10,0.1322011573208723,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/dynsrm/T10/MNIST_dynsrm_FF_v2_20260425_225319.csv
BP,lif,2,0.1915176020151133,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/lif/T2/MNIST_lif_BP_v2_20260425_174405.csv
BP,lif,4,0.1919077997481108,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/lif/T4/MNIST_lif_BP_v2_20260425_174405.csv
BP,lif,8,0.1923135613979849,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/lif/T8/MNIST_lif_BP_v2_20260425_181335.csv
BP,lif,10,0.1924804947103274,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/lif/T10/MNIST_lif_BP_v2_20260425_181347.csv
FF,lif,2,0.1706500973520249,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/lif/T2/MNIST_lif_FF_v2_20260425_174438.csv
FF,lif,4,0.1290468652647975,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/lif/T4/MNIST_lif_FF_v2_20260425_174438.csv
FF,lif,8,0.1203786906152648,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/lif/T8/MNIST_lif_FF_v2_20260425_183845.csv
FF,lif,10,0.1194948278816199,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/lif/T10/MNIST_lif_FF_v2_20260425_183901.csv
BP,srm,2,0.192055983627204,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/srm/T2/MNIST_srm_BP_v2_20260425_194402.csv
BP,srm,4,0.1923702311083123,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/srm/T4/MNIST_srm_BP_v2_20260425_194509.csv
BP,srm,8,0.1926521032745592,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/srm/T8/MNIST_srm_BP_v2_20260425_201402.csv
BP,srm,10,0.19277410906801,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/MNIST/v2/result/timestep/srm/T10/MNIST_srm_BP_v2_20260425_201527.csv
FF,srm,2,0.2100181814641744,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/srm/T2/MNIST_srm_FF_v2_20260425_212200.csv
FF,srm,4,0.1639034034267912,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/srm/T4/MNIST_srm_FF_v2_20260425_212230.csv
FF,srm,8,0.1363314466510903,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/srm/T8/MNIST_srm_FF_v2_20260425_220054.csv
FF,srm,10,0.1322011573208723,test_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/MNIST/v2/result/timestep/srm/T10/MNIST_srm_FF_v2_20260425_220108.csv
